organism,time_limit,seed,mean,tolerance,termination_loopless_fba_gecko_tol_1.0e-8,objective_value_loopless_fba_gecko_tol_1.0e-8,time_loopless_fba_gecko_tol_1.0e-8,feasibility_loopless_fba_gecko_tol_1.0e-8,iter_loopless_fba_gecko_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,iter_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,iter_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8
iSFxv_1172,1800,10,1.2,1.0e-8,OPTIMAL,0.0,1568.590605,true,,OPTIMAL,0.5835656604705471,7.546834945678711,true,1,OPTIMAL,0.5835656604705471,8.292350769042969,true,1
iSFxv_1172,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.001557,false,,OPTIMAL,1.167668057451226,7.739697217941284,true,1,OPTIMAL,1.167668057451226,8.503105878829956,true,1
iSFxv_1172,1800,10,4.0,1.0e-8,OPTIMAL,0.0,129.337825,true,,ERROR,,NaN,false,,OPTIMAL,29.33803782628558,15.591089010238647,true,2
iSFxv_1172,1800,10,5.0,1.0e-8,OPTIMAL,0.0,331.294185,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iYO844,1800,10,1.0,1.0e-8,OPTIMAL,0.0,29.603995,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iYO844,1800,10,1.2,1.0e-8,OPTIMAL,0.0,0.5450119999999999,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iYO844,1800,10,1.5,1.0e-8,OPTIMAL,0.0,0.530992,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iYO844,1800,10,4.0,1.0e-8,INFEASIBLE,,55.730596,false,,OPTIMAL,81.01247629244465,7.824225187301636,true,4,OPTIMAL,81.01247629244465,7.036534070968628,true,1
iYO844,1800,10,5.0,1.0e-8,INFEASIBLE,,8.157372,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iYS1720,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.001192,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
